"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,0,0,22,-37,0
nan,nan,nan,nan,0,0.069354,22.007,-36.931,0
nan,nan,nan,nan,0,0.13871,22.014,-36.862,0
nan,nan,nan,nan,0,0.20806,22.021,-36.793,0
nan,nan,nan,nan,0,0.27742,22.028,-36.724,0
nan,nan,nan,nan,0,0.34677,22.035,-36.655,0
nan,nan,nan,nan,0,0.41613,22.042,-36.586,0
0.00021209,3.0002,-8.5978e-22,1.6962,1,0.48548,22.049,-36.517,0
0.00087919,3.0008,-3.5655e-21,1.6943,1,0.55483,22.056,-36.448,0
0.0015274,3.0014,-6.1968e-21,1.6925,1,0.62419,22.063,-36.379,0
0.0021567,3.0021,-8.7535e-21,1.6907,1,0.69354,22.07,-36.31,0
0.0027671,3.0027,-1.1236e-20,1.6889,1,0.76289,22.077,-36.241,0
0.0033586,3.0033,-1.3644e-20,1.687,1,0.83225,22.084,-36.172,0
0.0039314,3.0039,-1.5978e-20,1.6852,1,0.9016,22.091,-36.103,0
0.0044854,3.0046,-1.8238e-20,1.6834,1,0.97096,22.098,-36.034,0
0.0050206,3.0052,-2.0424e-20,1.6817,1,1.0403,22.105,-35.965,0
0.0055371,3.0058,-2.2536e-20,1.6799,1,1.1097,22.112,-35.896,0
0.0060349,3.0064,-2.4575e-20,1.6781,1,1.179,22.119,-35.827,0
0.0065141,3.007,-2.654e-20,1.6763,1,1.2484,22.126,-35.758,0
0.0069427,3.0077,-2.8051e-20,1.6744,1,1.3177,22.133,-35.689,0
0.0069971,3.009,-2.5271e-20,1.6702,1,1.3871,22.14,-35.62,0
0.0070419,3.0102,-2.2447e-20,1.666,1,1.4564,22.147,-35.551,0
0.0070785,3.0115,-1.9402e-20,1.6619,1,1.5258,22.154,-35.482,0
0.0071047,3.0128,-1.6554e-20,1.6579,1,1.5951,22.161,-35.413,0
0.0071205,3.0141,-1.3904e-20,1.6538,1,1.6645,22.168,-35.344,0
0.007126,3.0154,-1.1449e-20,1.6497,1,1.7339,22.175,-35.275,0
0.0071211,3.0167,-9.1907e-21,1.6457,1,1.8032,22.182,-35.206,0
0.0071058,3.018,-7.1284e-21,1.6416,1,1.8726,22.189,-35.137,0
0.0070802,3.0192,-5.2617e-21,1.6376,1,1.9419,22.196,-35.068,0
0.0070443,3.0205,-3.5903e-21,1.6335,1,2.0113,22.203,-34.999,0
