"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,0,0,22,-37,0
nan,nan,nan,nan,0,0.070455,22.008,-36.93,0
nan,nan,nan,nan,0,0.14091,22.016,-36.86,0
nan,nan,nan,nan,0,0.21137,22.024,-36.79,0
nan,nan,nan,nan,0,0.28182,22.032,-36.72,0
nan,nan,nan,nan,0,0.35228,22.04,-36.65,0
nan,nan,nan,nan,0,0.42273,22.048,-36.58,0
0.00062522,3.0003,-9.0686e-22,2.1643,1,0.49319,22.056,-36.51,0
0.0021222,3.001,-3.1348e-21,2.1618,1,0.56365,22.064,-36.44,0
0.0035645,3.0017,-5.364e-21,2.1592,1,0.6341,22.072,-36.37,0
0.0049524,3.0024,-7.5944e-21,2.1567,1,0.70456,22.08,-36.3,0
0.0062859,3.003,-9.8261e-21,2.1542,1,0.77501,22.088,-36.23,0
0.0075651,3.0037,-1.2059e-20,2.1517,1,0.84547,22.096,-36.16,0
0.0086676,3.0049,-1.2663e-20,2.1478,1,0.91592,22.104,-36.09,0
0.009532,3.0067,-1.0663e-20,2.1417,1,0.98638,22.112,-36.02,0
0.010351,3.0086,-8.5499e-21,2.1356,1,1.0568,22.12,-35.95,0
0.011125,3.0104,-6.3252e-21,2.1296,1,1.1273,22.128,-35.88,0
0.011855,3.0122,-3.9885e-21,2.1236,1,1.1977,22.136,-35.81,0
0.012539,3.014,-1.5402e-21,2.1177,1,1.2682,22.144,-35.74,0
0.013098,3.0162,9.1513e-22,2.1109,1,1.3387,22.152,-35.67,0
0.013441,3.0189,3.7652e-21,2.1022,1,1.4091,22.16,-35.6,0
0.013757,3.0217,6.5507e-21,2.0935,1,1.4796,22.168,-35.53,0
0.014044,3.0245,9.2717e-21,2.0848,1,1.55,22.176,-35.46,0
0.014303,3.0273,1.1928e-20,2.0761,1,1.6205,22.184,-35.39,0
0.014534,3.03,1.4521e-20,2.0675,1,1.6909,22.192,-35.32,0
0.014665,3.0329,1.6012e-20,2.0583,1,1.7614,22.2,-35.25,0
0.014551,3.0364,1.4309e-20,2.0474,1,1.8318,22.208,-35.18,0
0.014423,3.0399,1.2766e-20,2.0365,1,1.9023,22.216,-35.11,0
0.014281,3.0434,1.1381e-20,2.0257,1,1.9728,22.224,-35.04,0
0.014125,3.0469,1.0156e-20,2.0148,1,2.0432,22.232,-34.97,0
0.013954,3.0503,9.0893e-21,2.004,1,2.1137,22.24,-34.9,0
0.01375,3.0538,7.9611e-21,1.9931,1,2.1841,22.248,-34.83,0
0.013369,3.0577,5.0881e-21,1.9809,1,2.2546,22.256,-34.76,0
0.012984,3.0616,2.4086e-21,1.9688,1,2.325,22.264,-34.69,0
0.012596,3.0655,-7.7804e-23,1.9566,1,2.3955,22.272,-34.62,0
0.012205,3.0693,-2.3713e-21,1.9445,1,2.4659,22.28,-34.55,0
0.01181,3.0732,-4.4727e-21,1.9324,1,2.5364,22.288,-34.48,0
0.011412,3.0771,-6.382e-21,1.9203,1,2.6069,22.296,-34.41,0
0.010949,3.081,-5.0198e-21,1.9077,1,2.6773,22.304,-34.34,0
0.010482,3.0851,-3.6229e-21,1.8951,1,2.7478,22.312,-34.27,0
0.010017,3.0891,-2.466e-21,1.8824,1,2.8182,22.32,-34.2,0
0.0095519,3.0931,-1.5486e-21,1.8698,1,2.8887,22.328,-34.13,0
0.0090884,3.0971,-8.7008e-22,1.8572,1,2.9591,22.336,-34.06,0
0.0086262,3.1011,-4.3033e-22,1.8446,1,3.0296,22.344,-33.99,0
0.0081796,3.105,-3.3985e-21,1.832,1,3.1001,22.352,-33.92,0
0.0077419,3.109,-7.8964e-21,1.8194,1,3.1705,22.36,-33.85,0
0.0073074,3.113,-1.2555e-20,1.8069,1,3.241,22.368,-33.78,0
0.0068747,3.117,-1.7159e-20,1.7943,1,3.3114,22.376,-33.71,0
0.0064435,3.1211,-2.1709e-20,1.7817,1,3.3819,22.384,-33.64,0
0.0060142,3.1251,-2.6203e-20,1.7692,1,3.4523,22.392,-33.57,0
0.0055966,3.129,-2.7261e-20,1.7567,1,3.5228,22.4,-33.5,0
0.0051925,3.1329,-2.4092e-20,1.7445,1,3.5932,22.408,-33.43,0
0.0047891,3.1368,-2.1133e-20,1.7323,1,3.6637,22.416,-33.36,0
