"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
nan,nan,nan,nan,0,0,55,-5.5,0
nan,nan,nan,nan,0,0.070847,55.007,-5.4295,0
nan,nan,nan,nan,0,0.14169,55.014,-5.359,0
nan,nan,nan,nan,0,0.21254,55.021,-5.2885,0
nan,nan,nan,nan,0,0.28339,55.028,-5.218,0
nan,nan,nan,nan,0,0.35423,55.035,-5.1475,0
nan,nan,nan,nan,0,0.42508,55.042,-5.077,0
nan,nan,nan,nan,0,0.49593,55.049,-5.0065,0
nan,nan,nan,nan,0,0.56677,55.056,-4.936,0
nan,nan,nan,nan,0,0.63762,55.063,-4.8655,0
nan,nan,nan,nan,0,0.70847,55.07,-4.795,0
nan,nan,nan,nan,0,0.77931,55.077,-4.7245,0
nan,nan,nan,nan,0,0.85016,55.084,-4.654,0
nan,nan,nan,nan,0,0.92101,55.091,-4.5835,0
-0.00012816,3.0002,8.6054e-21,1.115,1,0.99185,55.098,-4.513,0
-0.00048199,3.0007,3.2365e-20,1.1105,1,1.0627,55.105,-4.4425,0
-0.00083583,3.0012,5.6124e-20,1.1061,1,1.1335,55.112,-4.372,0
-0.0011897,3.0017,7.9884e-20,1.1016,1,1.2044,55.119,-4.3015,0
-0.0015435,3.0022,1.0364e-19,1.0972,1,1.2752,55.126,-4.231,0
-0.0018973,3.0027,1.274e-19,1.0928,1,1.3461,55.133,-4.1605,0
-0.0022512,3.0032,1.5116e-19,1.0883,1,1.4169,55.14,-4.09,0
-0.002605,3.0037,1.7492e-19,1.0839,1,1.4878,55.147,-4.0195,0
-0.0029589,3.0042,1.9868e-19,1.0794,1,1.5586,55.154,-3.949,0
-0.0033028,2.9996,2.2177e-19,1.075,1,1.6295,55.161,-3.8785,0
-0.0034891,2.9145,2.3429e-19,1.0713,1,1.7003,55.168,-3.808,0
-0.0036755,2.8295,2.4681e-19,1.0675,1,1.7712,55.175,-3.7375,0
-0.0038619,2.7444,2.5932e-19,1.0638,1,1.842,55.182,-3.667,0
-0.0039126,2.706,2.6272e-19,1.0595,1,1.9129,55.189,-3.5965,0
-0.0038923,2.6919,2.6136e-19,1.0549,1,1.9837,55.196,-3.526,0
