#           x             T        mag(U)             p
       -4.995       348.432   5.87529e-09        100000
       -4.985       348.432   5.87529e-09        100000
       -4.975       348.432   5.87529e-09        100000
       -4.965       348.432   5.87529e-09        100000
       -4.955       348.432   5.87529e-09        100000
       -4.945       348.432   6.91257e-09        100000
       -4.935       348.432   8.98712e-09        100000
       -4.925       348.432   1.10617e-08        100000
       -4.915       348.432   1.31362e-08        100000
       -4.905       348.432   1.52108e-08        100000
       -4.895       348.432   1.72853e-08        100000
       -4.885       348.432   1.93599e-08        100000
       -4.875       348.432   2.14344e-08        100000
       -4.865       348.432    2.3509e-08        100000
       -4.855       348.432   2.55835e-08        100000
       -4.845       348.432   3.01435e-08        100000
       -4.835       348.432    3.7189e-08        100000
       -4.825       348.432   4.42344e-08        100000
       -4.815       348.432   5.12798e-08        100000
       -4.805       348.432   5.83253e-08        100000
       -4.795       348.432   6.53707e-08        100000
       -4.785       348.432   7.24162e-08        100000
       -4.775       348.432   7.94616e-08        100000
       -4.765       348.432    8.6507e-08        100000
       -4.755       348.432   9.35525e-08        100000
       -4.745       348.432   1.09684e-07        100000
       -4.735       348.432   1.34902e-07        100000
       -4.725       348.432   1.60119e-07        100000
       -4.715       348.432   1.85337e-07        100000
       -4.705       348.432   2.10555e-07        100000
       -4.695       348.432   2.35772e-07        100000
       -4.685       348.432    2.6099e-07        100000
       -4.675       348.432   2.86208e-07        100000
       -4.665       348.432   3.11425e-07        100000
       -4.655       348.432   3.36643e-07        100000
       -4.645       348.432   3.92952e-07        100000
       -4.635       348.432   4.80352e-07        100000
       -4.625       348.432   5.67751e-07        100000
       -4.615       348.432   6.55151e-07        100000
       -4.605       348.432   7.42551e-07        100000
       -4.595       348.432   8.29951e-07        100000
       -4.585       348.432   9.17351e-07        100000
       -4.575       348.432   1.00475e-06        100000
       -4.565       348.432   1.09215e-06        100000
       -4.555       348.432   1.17955e-06        100000
       -4.545       348.432   1.37055e-06        100000
       -4.535       348.432   1.66515e-06        100000
       -4.525       348.432   1.95974e-06        100000
       -4.515       348.432   2.25434e-06        100000
       -4.505       348.432   2.54894e-06        100000
       -4.495       348.432   2.84353e-06        100000
       -4.485       348.432   3.13813e-06        100000
       -4.475       348.432   3.43273e-06        100000
       -4.465       348.432   3.72732e-06        100000
       -4.455       348.432   4.02192e-06        100000
       -4.445       348.432   4.65146e-06        100000
       -4.435       348.432   5.61594e-06        100000
       -4.425       348.432   6.58042e-06        100000
       -4.415       348.432   7.54489e-06        100000
       -4.405       348.432   8.50937e-06        100000
       -4.395       348.432   9.47385e-06        100000
       -4.385       348.432   1.04383e-05        100000
       -4.375       348.432   1.14028e-05        100000
       -4.365       348.432   1.23673e-05        100000
       -4.355       348.432   1.33318e-05        100000
       -4.345       348.432   1.53457e-05        100000
       -4.335       348.432    1.8409e-05        100000
       -4.325       348.432   2.14724e-05        100000
       -4.315       348.432   2.45357e-05        100000
       -4.305       348.432   2.75991e-05        100000
       -4.295       348.432   3.06624e-05        100000
       -4.285       348.432   3.37258e-05        100000
       -4.275       348.432   3.67891e-05        100000
       -4.265       348.432   3.98525e-05        100000
       -4.255       348.432   4.29158e-05        100000
       -4.245       348.432   4.91611e-05        100000
       -4.235       348.432   5.85884e-05        100000
       -4.225       348.432   6.80156e-05        100000
       -4.215       348.432   7.74429e-05        100000
       -4.205       348.432   8.68701e-05        100000
       -4.195       348.432   9.62974e-05        100000
       -4.185       348.432   0.000105725        100000
       -4.175       348.432   0.000115152        100000
       -4.165       348.432   0.000124579        100000
       -4.155       348.432   0.000134006        100000
       -4.145       348.432   0.000152755        100000
       -4.135       348.432   0.000180824        100000
       -4.125       348.432   0.000208893        100000
       -4.115       348.432   0.000236963       99999.9
       -4.105       348.432   0.000265032       99999.9
       -4.095       348.432   0.000293101       99999.9
       -4.085       348.432    0.00032117       99999.9
       -4.075       348.432    0.00034924       99999.8
       -4.065       348.432   0.000377309       99999.8
       -4.055       348.432   0.000405378       99999.8
       -4.045       348.432   0.000459778       99999.8
       -4.035       348.432   0.000540509       99999.8
       -4.025       348.432    0.00062124       99999.8
       -4.015       348.432    0.00070197       99999.7
       -4.005       348.432   0.000782701       99999.7
       -3.995       348.432   0.000863432       99999.7
       -3.985       348.432   0.000944163       99999.7
       -3.975       348.432    0.00102489       99999.7
       -3.965       348.432    0.00110562       99999.6
       -3.955       348.432    0.00118635       99999.6
       -3.945       348.432    0.00133866       99999.6
       -3.935       348.432    0.00156255       99999.5
       -3.925       348.432    0.00178643       99999.4
       -3.915       348.432    0.00201031       99999.3
       -3.905       348.432     0.0022342       99999.2
       -3.895       348.431    0.00245808       99999.2
       -3.885       348.431    0.00268197       99999.1
       -3.875       348.431    0.00290585         99999
       -3.865       348.431    0.00312973       99998.9
       -3.855       348.431    0.00335362       99998.8
       -3.845       348.431    0.00376427       99998.7
       -3.835       348.431    0.00436169       99998.5
       -3.825        348.43    0.00495911       99998.2
       -3.815        348.43    0.00555653         99998
       -3.805        348.43    0.00615395       99997.8
       -3.795        348.43    0.00675138       99997.6
       -3.785        348.43     0.0073488       99997.4
       -3.775       348.429    0.00794622       99997.2
       -3.765       348.429    0.00854364       99996.9
       -3.755       348.429    0.00914106       99996.7
       -3.745       348.429     0.0102049       99996.3
       -3.735       348.428     0.0117352       99995.8
       -3.725       348.428     0.0132655       99995.2
       -3.715       348.427     0.0147958       99994.7
       -3.705       348.426     0.0163261       99994.1
       -3.695       348.426     0.0178564       99993.6
       -3.685       348.425     0.0193867         99993
       -3.675       348.425      0.020917       99992.5
       -3.665       348.424     0.0224473       99991.9
       -3.655       348.423     0.0239776       99991.4
       -3.645       348.422     0.0266188       99990.4
       -3.635       348.421     0.0303709         99989
       -3.625       348.419     0.0341231       99987.7
       -3.615       348.418     0.0378752       99986.3
       -3.605       348.417     0.0416274       99984.9
       -3.595       348.415     0.0453795       99983.6
       -3.585       348.414     0.0491317       99982.2
       -3.575       348.413     0.0528838       99980.8
       -3.565       348.411      0.056636       99979.5
       -3.555        348.41     0.0603881       99978.1
       -3.545       348.407     0.0666526       99975.8
       -3.535       348.404     0.0754295       99972.6
       -3.525       348.401     0.0842064       99969.4
       -3.515       348.398     0.0929833       99966.2
       -3.505       348.395       0.10176         99963
       -3.495       348.392      0.110537       99959.9
       -3.485       348.389      0.119314       99956.7
       -3.475       348.386      0.128091       99953.5
       -3.465       348.383      0.136868       99950.3
       -3.455        348.38      0.145645       99947.1
       -3.445       348.374      0.159787       99941.9
       -3.435       348.367      0.179296       99934.8
       -3.425        348.36      0.198804       99927.7
       -3.415       348.353      0.218313       99920.5
       -3.405       348.346      0.237822       99913.4
       -3.395       348.338       0.25733       99906.3
       -3.385       348.331      0.276839       99899.2
       -3.375       348.324      0.296348         99892
       -3.365       348.317      0.315856       99884.9
       -3.355        348.31      0.335365       99877.8
       -3.345       348.298      0.365626       99866.7
       -3.335       348.284       0.40664       99851.6
       -3.325       348.269      0.447653       99836.6
       -3.315       348.253      0.488667       99821.6
       -3.305       348.238      0.529681       99806.5
       -3.295       348.224      0.570695       99791.5
       -3.285       348.209      0.611709       99776.4
       -3.275       348.193      0.652723       99761.4
       -3.265       348.178      0.693736       99746.4
       -3.255       348.164       0.73475       99731.3
       -3.245       348.141      0.795821       99708.9
       -3.235       348.111      0.876949       99679.1
       -3.225       348.082      0.958078       99649.2
       -3.215       348.052       1.03921       99619.4
       -3.205       348.022       1.12033       99589.6
       -3.195       347.992       1.20146       99559.8
       -3.185       347.962       1.28259         99530
       -3.175       347.933       1.36372       99500.2
       -3.165       347.903       1.44485       99470.3
       -3.155       347.873       1.52598       99440.5
       -3.145        347.83       1.64139         99398
       -3.135       347.775       1.79109       99342.7
       -3.125        347.72       1.94078       99287.5
       -3.115       347.664       2.09048       99232.3
       -3.105       347.609       2.24018         99177
       -3.095       347.554       2.38988       99121.8
       -3.085       347.499       2.53958       99066.5
       -3.075       347.443       2.68927       99011.3
       -3.065       347.388       2.83897       98956.1
       -3.055       347.333       2.98867       98900.8
       -3.045       347.258       3.18969       98826.2
       -3.035       347.163       3.44203         98732
       -3.025       347.068       3.69437       98637.9
       -3.015       346.973       3.94672       98543.9
       -3.005       346.878       4.19906       98449.8
       -2.995       346.784        4.4514       98355.6
       -2.985       346.689       4.70374       98261.6
       -2.975       346.594       4.95608       98167.5
       -2.965       346.499       5.20843       98073.3
       -2.955       346.404       5.46077       97979.2
       -2.945       346.285       5.77516       97861.8
       -2.935       346.142       6.15161       97720.9
       -2.925       345.999       6.52806         97580
       -2.915       345.856        6.9045       97439.2
       -2.905       345.713       7.28095       97298.3
       -2.895        345.57        7.6574       97157.4
       -2.885       345.427       8.03385       97016.5
       -2.875       345.284       8.41029       96875.7
       -2.865       345.141       8.78674       96734.8
       -2.855       344.998       9.16319       96593.9
       -2.845       344.832       9.60249       96431.7
       -2.835       344.643       10.1047         96248
       -2.825       344.454       10.6068       96064.3
       -2.815       344.266        11.109       95880.6
       -2.805       344.077       11.6112       95696.9
       -2.795       343.888       12.1133       95513.3
       -2.785       343.699       12.6155       95329.6
       -2.775       343.511       13.1177       95145.9
       -2.765       343.322       13.6198       94962.2
       -2.755       343.133        14.122       94778.5
